setup,method,mean_top1_score_global,mean_top1_score_local,median_top1_score_global,median_top1_score_local,p90_top1_score_global,p90_top1_score_local
dostoevsky_to_tolstoy,bm25,50.314599825694344,,29.195189497072814,,101.45316716462276,
dostoevsky_to_tolstoy,tfidf,0.1789763725306227,0.21598417885477064,0.1692142466326497,0.20546884869506393,0.2511716257589265,0.2980789596899145
tolstoy_to_dostoevsky,bm25,31.567942275712102,,24.44036732903095,,56.13246071781826,
tolstoy_to_dostoevsky,tfidf,0.14685594051992348,0.18718871757456376,0.1381071580597842,0.1785170080197558,0.2149940357303782,0.25701158922748846
within_dostoevsky,bm25,64.71917327918499,,37.775790624558624,,130.32978815694526,
within_dostoevsky,tfidf,0.23581194134628614,0.23044529977439857,0.2207967134593754,0.21602198136739004,0.3370207373637316,0.33296646876833524
within_tolstoy,bm25,47.989870180069396,,36.90381356171102,,84.80257815242214,
within_tolstoy,tfidf,0.20939784564383263,0.20994297620025762,0.1932300584831197,0.1935296965355162,0.2992105246991246,0.3011914403184541
