setup,method,idf_scheme,mean_top1_score,median_top1_score,p90_top1_score,setup_method
dostoevsky_to_tolstoy,bm25,global,50.314599825694344,29.195189497072814,101.45316716462276,dostoevsky_to_tolstoy / bm25
dostoevsky_to_tolstoy,tfidf,global,0.1789763725306227,0.1692142466326497,0.2511716257589265,dostoevsky_to_tolstoy / tfidf
dostoevsky_to_tolstoy,tfidf,local,0.21598417885477064,0.20546884869506393,0.2980789596899145,dostoevsky_to_tolstoy / tfidf
tolstoy_to_dostoevsky,bm25,global,31.567942275712102,24.44036732903095,56.13246071781826,tolstoy_to_dostoevsky / bm25
tolstoy_to_dostoevsky,tfidf,global,0.14685594051992348,0.1381071580597842,0.2149940357303782,tolstoy_to_dostoevsky / tfidf
tolstoy_to_dostoevsky,tfidf,local,0.18718871757456376,0.1785170080197558,0.25701158922748846,tolstoy_to_dostoevsky / tfidf
within_dostoevsky,bm25,global,64.71917327918499,37.775790624558624,130.32978815694526,within_dostoevsky / bm25
within_dostoevsky,tfidf,global,0.23581194134628614,0.2207967134593754,0.3370207373637316,within_dostoevsky / tfidf
within_dostoevsky,tfidf,local,0.23044529977439857,0.21602198136739004,0.33296646876833524,within_dostoevsky / tfidf
within_tolstoy,bm25,global,47.989870180069396,36.90381356171102,84.80257815242214,within_tolstoy / bm25
within_tolstoy,tfidf,global,0.20939784564383263,0.1932300584831197,0.2992105246991246,within_tolstoy / tfidf
within_tolstoy,tfidf,local,0.20994297620025762,0.1935296965355162,0.3011914403184541,within_tolstoy / tfidf
