run_id,corr_length_ap,corr_length_ndcg20,corr_relevant_docs_ap,corr_relevant_docs_ndcg20
tfidf_original_test,-0.17419990683266523,-0.17105550687916782,-0.3839086131117444,-0.3393818595728896
tfidf_stemmed_test,-0.2170350815196071,-0.19706246116349965,-0.41040735378203513,-0.3718912586353372
tfidf_lemmatized_test,-0.18940206238263096,-0.18633164408896755,-0.3953390269144834,-0.34864943347165994
bm25_original_test_k1_1.5_b_0.75,-0.06828055120868512,-0.03436829691667957,-0.4360200943480453,-0.4059912516238203
bm25_stemmed_test_k1_1.5_b_0.75,-0.09560996416098953,-0.08249953988372295,-0.45999130205968347,-0.4252997486974863
bm25_lemmatized_test_k1_1.5_b_0.75,-0.07111090943207113,-0.03868467982154443,-0.43092780737633807,-0.3847262830137121
