run_id,method,variant,P@1,P@10,P@20,AP,nDCG@20,build_seconds,preprocess_seconds,total_query_seconds,avg_query_seconds
bm25_lemmatized_test_k1_1.5_b_0.75,bm25,lemmatized,0.51,0.234,0.167,0.1989519161941629,0.3810078739054451,6.900237000001653,4.494208416999754,53.994229792988335,0.5399422979298834
bm25_original_test_k1_1.5_b_0.75,bm25,original,0.49,0.236,0.1689999999999999,0.1974569345949292,0.3776336313423371,13.970332083001267,4.095352084001206,53.77275971000563,0.5377275971000564
bm25_stemmed_test_k1_1.5_b_0.75,bm25,stemmed,0.51,0.2350000000000001,0.171,0.2020383873533729,0.3891771630989397,9.985592625002027,162.11210483299874,30.88045016597971,0.3088045016597971
tfidf_lemmatized_test,tfidf,lemmatized,0.46,0.212,0.15,0.1812354610627232,0.3502504093389465,5.704734582999663,64.84574666700064,6.081627872983518,0.0608162787298351
tfidf_original_test,tfidf,original,0.44,0.212,0.1505,0.1794413815949806,0.3458476145910517,5.531560625000566,3.8393306250000023,5.666254585990828,0.0566625458599082
tfidf_stemmed_test,tfidf,stemmed,0.49,0.214,0.151,0.1835697069303621,0.3593795608825553,8.458162999999331,162.4513342499995,23.418582532987784,0.2341858253298778
