variant,optimize,best_k1,best_b,validation_P@1,validation_P@10,validation_P@20,validation_AP,validation_nDCG@20
original,AP,1.2,0.75,0.46,0.22900000000000006,0.16450000000000004,0.16651676784840053,0.3470155675480746
stemmed,AP,1.2,0.75,0.45,0.22500000000000003,0.16500000000000006,0.16500633219116734,0.34330868993566355
lemmatized,AP,1.2,0.75,0.46,0.22800000000000004,0.1635000000000001,0.16726718088312698,0.34600379672588205
