iter	PairLogit
0	0.6747545774
1	0.6595293624
2	0.6438185554
3	0.6319098928
4	0.6204505673
5	0.6087182147
6	0.5983888911
7	0.5873662685
8	0.5783459614
9	0.5714488832
10	0.5642235733
11	0.5575169713
12	0.5509808973
13	0.545091888
14	0.5390225476
15	0.5333965801
16	0.5290766831
17	0.525473362
18	0.5215880426
19	0.5186348358
20	0.5159352239
21	0.5124246134
22	0.5089134968
23	0.5070754853
24	0.5050685899
25	0.5025418086
26	0.5003851215
27	0.49867044
28	0.4967984132
29	0.4946096907
30	0.4924949522
31	0.4911233882
32	0.4892013125
33	0.4872497521
34	0.4862529166
35	0.484859297
36	0.4833931719
37	0.4826137225
38	0.4811615167
39	0.4797326854
40	0.4784143687
41	0.4774186342
42	0.4763282876
43	0.4750666588
44	0.474062328
45	0.4728986972
46	0.4722446395
47	0.4711512378
48	0.4705434541
49	0.4695559126
50	0.46850836
51	0.4676777135
52	0.4666829971
53	0.4657797403
54	0.4651566174
55	0.4644704651
56	0.4633325834
57	0.4624755738
58	0.4619576864
59	0.4614574943
60	0.4605558425
61	0.4596407665
62	0.4589684948
63	0.4583414749
64	0.4577804203
65	0.4572204256
66	0.4565035251
67	0.4558341449
68	0.4552606596
69	0.4545937881
70	0.4540382632
71	0.4533907238
72	0.4530457415
73	0.4525427753
74	0.451994083
75	0.4515365152
76	0.4510718881
77	0.4507516582
78	0.4501744862
79	0.4497162688
80	0.4495191207
81	0.4490871743
82	0.448577223
83	0.4480918848
84	0.4477117788
85	0.4472989283
86	0.446701455
87	0.4461137838
88	0.4456747754
89	0.4454569427
90	0.4450301409
91	0.4443535477
92	0.4439049655
93	0.4436263127
94	0.4430763996
95	0.4427275025
96	0.4422915868
97	0.4418823262
98	0.4415329549
99	0.4409993859
100	0.4408240343
101	0.4404082273
102	0.4400204086
103	0.4395176223
104	0.4392046042
105	0.438860394
106	0.4383067649
107	0.4380263652
108	0.4376134413
109	0.4372518141
110	0.4368929157
111	0.4365653532
112	0.4361555054
113	0.4357845763
114	0.4354624182
115	0.434951476
116	0.4345603048
117	0.4343344491
118	0.433873131
119	0.4334981535
120	0.4333067224
121	0.4330459385
122	0.43255397
123	0.432404389
124	0.4319972815
125	0.4315220368
126	0.4312405946
127	0.4310757765
128	0.4307268206
129	0.4305195191
130	0.4303705516
131	0.4301633724
132	0.4298162776
133	0.4296932509
134	0.429425221
135	0.4293371064
136	0.429071308
137	0.4289404916
138	0.4287472192
139	0.4283838159
140	0.4281389812
141	0.427879183
142	0.4277233086
143	0.4274234168
144	0.4272072917
145	0.426797069
146	0.4265871253
147	0.4261273279
148	0.4258316387
149	0.4254424595
150	0.4251835201
151	0.4248400903
152	0.4246154214
153	0.4244145255
154	0.4240779218
155	0.423762899
156	0.4235702537
157	0.4233246023
158	0.4231361397
159	0.4229705638
160	0.4227307167
161	0.4225806212
162	0.4224028072
163	0.4220099819
164	0.4217481649
165	0.4215488212
166	0.4212417203
167	0.4208776749
168	0.4204413706
169	0.4202530016
170	0.4200616008
171	0.4197454894
172	0.4195925151
173	0.4192153678
174	0.4187502362
175	0.4185718142
176	0.4182044668
177	0.4179057395
178	0.4176376259
179	0.4174723546
180	0.417327882
181	0.4170257686
182	0.4167756962
183	0.4166257742
184	0.4165536031
185	0.4161613882
186	0.4159518285
187	0.4156394267
188	0.4151233829
189	0.4148480714
190	0.4147547054
191	0.4145961796
192	0.4143955198
193	0.4140823249
194	0.4137336645
195	0.4135467515
196	0.4131325605
197	0.4128614307
198	0.412429937
199	0.4122664433
200	0.4120338814
201	0.4118442301
202	0.4116113304
203	0.411187895
204	0.410887299
205	0.4107140432
206	0.4106015117
207	0.4103261659
208	0.4101227897
209	0.4098067374
210	0.4095779341
211	0.4092888118
212	0.408901201
213	0.40869907
214	0.4085045585
215	0.4082480407
216	0.4078990252
217	0.4075655017
218	0.4071280845
219	0.4068548215
220	0.4065081185
221	0.4058401028
222	0.4055595076
223	0.4052172637
224	0.4049664372
225	0.4045618076
226	0.4044108144
227	0.4041024678
228	0.4037673326
229	0.403461005
230	0.4032768273
231	0.4030534873
232	0.4026455323
233	0.4024289886
234	0.4020162947
235	0.4016687241
236	0.4013825965
237	0.4009027995
238	0.4007383309
239	0.400320676
240	0.3999821656
241	0.3997078067
242	0.3994799676
243	0.39905539
244	0.3986084406
245	0.3981915468
246	0.3978190704
247	0.3974982385
248	0.3969397376
249	0.3965005669
250	0.3960857881
251	0.3958697073
252	0.3956599356
253	0.395303103
254	0.3951898333
255	0.394972232
256	0.3946549
257	0.3942828239
258	0.3939932867
259	0.3937660189
260	0.3934294089
261	0.3933560042
262	0.393007753
263	0.3926724979
264	0.3922668162
265	0.3918693713
266	0.3915285986
267	0.3912268162
268	0.3909443854
269	0.3905861951
270	0.3903605691
271	0.3901545275
272	0.3897264528
273	0.3894219879
274	0.3889312831
275	0.3885115265
276	0.3881943215
277	0.3878455557
278	0.3875549699
279	0.3874394399
280	0.3870920736
281	0.3867768386
282	0.3862748874
283	0.3859040886
284	0.3856453276
285	0.3852804958
286	0.384877554
287	0.3846333015
288	0.3843107788
289	0.3840325917
290	0.3836697618
291	0.3833972617
292	0.3832117677
293	0.3829259523
294	0.3826796263
295	0.3824451954
296	0.3820883795
297	0.3816962397
298	0.3813886787
299	0.3809778283
