dataset,model,alpha,P@1,P@10,P@20,MAP@20,nDCG@20,avg_query_seconds
WikIR test,all-MiniLM-L6-v2,0.1,0.68,0.262,0.17950000000000002,0.2105296598661002,0.490006301164396,1.4310860015029903e-05
MIRAGE test,all-MiniLM-L6-v2,0.1,0.6133509583608724,0.11407799074686056,0.05849306014540648,0.7194244956224416,0.7820148943393853,1.2273736283003358e-05
