dataset,model,P@1,P@10,P@20,MAP@20,nDCG@20,avg_query_seconds
WikIR test,all-MiniLM-L6-v2,0.65,0.24300000000000008,0.17050000000000004,0.1929335590217894,0.47054679775902003,0.0016300616700118554
WikIR test,paraphrase-multilingual-MiniLM-L12-v2,0.44,0.13,0.09000000000000002,0.09516422318365972,0.2757396880066739,0.0019017204100055096
MIRAGE test,all-MiniLM-L6-v2,0.5922009253139459,0.11288830138797093,0.05816259087904826,0.7038679380934992,0.7694081061011642,0.0004905506444143577
MIRAGE test,paraphrase-multilingual-MiniLM-L12-v2,0.5109054857898215,0.09266358228684732,0.04907468605419696,0.58414548048948,0.6468980553225935,0.0004514899762067055
