dataset,model,k,P@1,P@10,P@20,MAP@20,nDCG@20,avg_query_seconds
WikIR test,all-MiniLM-L6-v2,10,0.48,0.177,0.1295,0.15794067064018044,0.3412706152427078,0.0022987149500295345
WikIR test,all-MiniLM-L6-v2,20,0.53,0.20499999999999996,0.1295,0.16860375516173837,0.36255035439902383,0.0012577983400296944
WikIR test,all-MiniLM-L6-v2,50,0.53,0.212,0.1365,0.17111511427873802,0.3720964046578915,0.0033364612200603005
WikIR test,all-MiniLM-L6-v2,100,0.53,0.225,0.1465,0.18066304294871205,0.39097642966120216,0.0014260887499676755
MIRAGE test,all-MiniLM-L6-v2,10,0.46860541969596825,0.07422339722405816,0.03912756113681428,0.5157549977471826,0.552354515002828,3.781870192044396e-05
MIRAGE test,all-MiniLM-L6-v2,20,0.48116325181758096,0.07805684071381362,0.03912756113681428,0.531615718312678,0.5651983676022534,1.9701746197574766e-05
MIRAGE test,all-MiniLM-L6-v2,50,0.5029742233972241,0.0839391936549901,0.04226701916721745,0.5638005808548361,0.6010761368911518,0.0004049001910204099
MIRAGE test,all-MiniLM-L6-v2,100,0.5102445472571051,0.08592200925313946,0.043489755452742904,0.5754899600219521,0.6145329094799762,0.0006074843839842414
