iter	PairLogit
0	0.685617384
1	0.6795565702
2	0.6736092572
3	0.6682925307
4	0.6629813248
5	0.6585791046
6	0.6540154968
7	0.6503788591
8	0.6462586462
9	0.6418674946
10	0.6383184664
11	0.6359015066
12	0.6327497019
13	0.6300079924
14	0.6268642259
15	0.6243330421
16	0.6203346288
17	0.6177886531
18	0.6146770507
19	0.6103356969
20	0.6081464935
21	0.6057285734
22	0.603840676
23	0.6018558061
24	0.5993167851
25	0.5972462124
26	0.5956944209
27	0.5941034837
28	0.5926783526
29	0.5914016319
30	0.5893176274
31	0.5875391584
32	0.5858938552
33	0.5831211574
34	0.580813856
35	0.5783090953
36	0.5767252015
37	0.5755195233
38	0.5741402901
39	0.5726279808
40	0.5713867021
41	0.5700464694
42	0.5676308307
43	0.5665172428
44	0.5652857985
45	0.5640180861
46	0.5629298601
47	0.5618587672
48	0.5603230566
49	0.5591300771
50	0.5578558374
51	0.5561959663
52	0.5551720489
53	0.5532001073
54	0.5525969727
55	0.5511220364
56	0.5500253972
57	0.5484953362
58	0.5474755918
59	0.5464309573
60	0.5458672834
61	0.5451759617
62	0.544646766
63	0.5440302314
64	0.5428187573
65	0.5417898283
66	0.5407671019
67	0.5397066842
68	0.5376342035
69	0.5370223905
70	0.5355591913
71	0.5346813739
72	0.5339359803
73	0.5325040948
74	0.532092585
75	0.5314151868
76	0.5305381878
77	0.5298429184
78	0.529374448
79	0.5289693505
80	0.5282601866
81	0.5274837007
82	0.5267936454
83	0.5260521396
84	0.5251514669
85	0.52430022
86	0.523650006
87	0.5232222512
88	0.5227905125
89	0.5223186033
90	0.5214138446
91	0.5201121404
92	0.5192613181
93	0.5186552937
94	0.5181250658
95	0.5171435583
96	0.5161083922
97	0.5157839101
98	0.5144786311
99	0.5136822683
100	0.5133747065
101	0.5126982155
102	0.5119360574
103	0.5114118569
104	0.5105535643
105	0.5100800805
106	0.5094965844
107	0.5087792004
108	0.5084342517
109	0.5079217791
110	0.5073062426
111	0.506036311
112	0.5056086455
113	0.5050498008
114	0.5040227092
115	0.5035860066
116	0.5029880571
117	0.5024180254
118	0.5019049424
119	0.5011856278
120	0.5008614118
121	0.5006640043
122	0.5001771239
123	0.4995583165
124	0.4991587407
125	0.4987749386
126	0.4984085984
127	0.4978133369
128	0.4974289602
129	0.4971284094
130	0.4968424261
131	0.4964582003
132	0.496063142
133	0.4956026776
134	0.4946806547
135	0.494314407
136	0.4938147193
137	0.4934184981
138	0.4930976182
139	0.492802628
140	0.4923485847
141	0.4920163914
142	0.4916136402
143	0.4913226086
144	0.4908532086
145	0.4905036479
146	0.4900869468
147	0.489524958
148	0.4890943623
149	0.4887799787
150	0.4886214802
151	0.4882826821
152	0.4881344264
153	0.4879786176
154	0.4877162533
155	0.4874636751
156	0.4871151221
157	0.4869375845
158	0.4866226843
159	0.4862673927
160	0.4859800889
161	0.4857111586
162	0.4854136542
163	0.4850032952
164	0.4846495189
165	0.4843421413
166	0.4840271957
167	0.4836733811
168	0.4834538621
169	0.4831722386
170	0.4826967158
171	0.4823663507
172	0.4821596848
173	0.4816716352
174	0.4814462709
175	0.4811705215
176	0.4809096641
177	0.4803812657
178	0.4798608149
179	0.4795914823
180	0.479388633
181	0.4791561561
182	0.4788911022
183	0.478650041
184	0.47847361
185	0.4781930853
186	0.4780069138
187	0.4777089617
188	0.4774882543
189	0.4771367648
190	0.4763592218
191	0.4761393276
192	0.4757940379
193	0.4755798832
194	0.4752448378
195	0.4749016359
196	0.4746007064
197	0.4741954058
198	0.4735498583
199	0.4731028057
200	0.4725485437
201	0.4720125487
202	0.4717782862
203	0.4715505132
204	0.4712754532
205	0.4708504333
206	0.4706136664
207	0.4704388242
208	0.4702218792
209	0.4699657899
210	0.4696747791
211	0.4692219779
212	0.4690233886
213	0.4688287588
214	0.4684363888
215	0.4682200146
216	0.4679075638
217	0.4677102963
218	0.4671727319
219	0.4664313486
220	0.4660495958
221	0.4658743672
222	0.4656086431
223	0.4649216513
224	0.4646664848
225	0.4644498301
226	0.4640726628
227	0.4636592454
228	0.4633663149
229	0.4630086536
230	0.4625561145
231	0.4623613337
232	0.4622251733
233	0.4619938611
234	0.4616465456
235	0.4611591708
236	0.4608398993
237	0.4606047209
238	0.4600108242
239	0.4597733658
240	0.4595106609
241	0.4592526246
242	0.45880857
243	0.4584271406
244	0.458031608
245	0.4576987143
246	0.4573499659
247	0.4569861235
248	0.4566850028
249	0.4561431176
250	0.4555906623
251	0.4553268964
252	0.4548157645
253	0.45447637
254	0.4541195651
255	0.4538951315
256	0.4534771387
257	0.453024393
258	0.4527324861
259	0.4522787806
260	0.4519822823
261	0.4517589227
262	0.4513360304
