source,queries,mean_ap,mean_ndcg20,mean_p1,mean_query_length
ifqa,248,0.8477364597929752,0.8804969218482874,0.7782258064516129,22.443548387096776
triviaqa,584,0.5438021458877262,0.6032136442425118,0.5068493150684932,13.282534246575343
naturalqa,3578,0.5337462301040987,0.5960315930749066,0.4346003353828955,8.865008384572386
drop,75,0.3428456664637319,0.37167401151091817,0.29333333333333333,8.653333333333334
popqa,3075,0.2084331489126906,0.23172689722482337,0.18016260162601627,6.639024390243902
