length_bucket,queries,mean_ap,mean_ndcg20,mean_p1
11+,1085,0.6635461285199824,0.7205892272712173,0.5889400921658986
6-10,6088,0.38488826847499114,0.42835926463274165,0.32079500657030224
<=5,387,0.10610112793522465,0.1394994574528856,0.07235142118863049
